iter	Passed	Remaining
0	0	322
1	0	243
2	0	199
3	1	215
4	1	193
5	1	208
6	1	206
7	2	208
8	2	200
9	2	192
10	2	179
11	2	182
12	3	183
13	3	174
14	3	178
15	3	177
16	3	180
17	4	177
18	4	180
19	4	176
20	5	188
21	5	184
22	5	189
23	5	186
24	5	184
25	6	179
26	6	185
27	6	183
28	7	194
29	7	194
30	7	190
31	7	188
32	8	186
33	8	186
34	8	192
35	9	191
36	9	187
37	9	186
38	9	184
39	10	190
40	10	196
41	10	193
42	10	192
43	11	190
44	11	191
45	12	197
46	12	196
47	12	197
48	13	202
49	13	202
50	13	205
51	14	205
52	14	206
53	14	204
54	15	206
55	15	210
56	16	212
57	16	212
58	17	216
59	17	213
60	17	214
61	17	213
62	18	216
63	18	214
64	18	213
65	19	211
66	19	209
67	19	210
68	19	208
69	19	206
70	20	209
71	20	210
72	21	210
73	21	213
74	22	212
75	22	210
76	22	209
77	22	211
78	23	211
79	23	210
80	24	212
81	24	211
82	24	210
83	24	212
84	25	210
85	25	212
86	25	211
87	26	214
88	27	216
89	27	214
90	27	214
91	28	217
92	28	219
93	29	219
94	29	221
95	30	220
96	30	220
97	31	222
98	31	222
99	32	223
100	32	222
101	32	221
102	32	222
103	32	220
104	33	220
105	34	222
106	34	222
107	34	221
108	34	221
109	35	220
110	35	219
111	36	221
112	36	220
113	36	218
114	37	220
115	37	219
116	37	218
117	37	218
118	38	219
119	38	217
120	38	215
121	39	217
122	39	216
123	39	217
124	40	216
125	40	215
126	41	217
127	41	218
128	42	218
129	42	218
130	42	217
131	42	216
132	42	215
133	43	213
134	43	214
135	44	215
136	44	216
137	45	216
138	45	217
139	46	218
140	46	217
141	46	216
142	47	216
143	47	215
144	47	214
145	48	215
146	48	215
147	49	216
148	49	216
149	50	217
150	50	216
151	50	214
152	51	215
153	51	214
154	51	214
155	52	214
156	52	214
157	52	214
158	53	214
159	53	213
160	53	212
161	54	213
162	54	212
163	54	212
164	55	211
165	55	211
166	55	211
167	55	210
168	56	210
169	57	210
170	57	210
171	57	210
172	58	211
173	58	211
174	59	212
175	59	211
176	60	211
177	60	210
178	60	210
179	60	209
180	61	208
181	61	209
182	61	208
183	62	208
184	62	209
185	63	208
186	63	208
187	63	207
188	64	207
189	64	207
190	64	206
191	65	206
192	65	205
193	65	205
194	66	205
195	66	204
196	66	204
197	66	203
198	67	202
199	67	202
200	67	202
201	68	202
202	69	202
203	69	201
204	69	201
205	70	202
206	70	202
207	71	202
208	71	201
209	71	200
210	71	199
211	72	199
212	72	198
213	72	197
214	72	196
215	72	195
216	72	194
217	72	194
218	73	193
219	73	192
220	73	192
221	73	191
222	74	192
223	75	192
224	75	192
225	75	192
226	75	191
227	76	191
228	76	190
229	76	190
230	77	190
231	77	189
232	77	189
233	77	188
234	78	188
235	78	187
236	78	187
237	79	187
238	79	187
239	80	187
240	80	186
241	80	185
242	80	185
243	81	184
244	81	183
245	81	183
246	82	183
247	82	182
248	82	181
249	82	181
250	83	181
251	83	181
252	84	181
253	84	181
254	84	180
255	84	180
256	85	180
257	85	180
258	86	180
259	87	180
260	87	180
261	88	180
262	88	179
263	88	179
264	88	178
265	88	177
266	89	177
267	89	176
268	89	176
269	90	176
270	90	175
271	90	176
272	91	176
273	91	175
274	91	174
275	91	174
276	92	174
277	92	173
278	93	173
279	93	173
280	93	172
281	93	171
282	94	172
283	94	171
284	94	170
285	95	170
286	95	170
287	96	170
288	96	169
289	96	170
290	97	169
291	97	169
292	97	168
293	98	168
294	98	168
295	98	167
296	99	167
297	99	167
298	99	166
299	100	166
300	100	166
301	100	165
302	100	165
303	100	164
304	101	164
305	101	163
306	101	162
307	101	162
308	102	162
309	102	162
310	103	161
311	103	161
312	103	160
313	103	160
314	104	159
315	104	159
316	105	159
317	105	159
318	105	159
319	106	158
320	106	158
321	106	158
322	107	157
323	107	157
324	107	157
325	108	156
326	108	156
